probe	coef
intercept	0.57768257
cg00059225	0.245959207
cg00088042	0.182715563
cg00252534	0.168223355
cg00297950	0.141757732
cg00384539	0.178201883
cg00491255	0.144507792
cg00521255	-0.244362714
cg00648582	-0.039146199
cg00771642	0.127725729
cg00924265	-0.06851627
cg00935119	-0.038119038
cg00940577	-0.061217306
cg01091514	-0.032229783
cg01122755	0.065710905
cg01162920	-0.197356706
cg01194538	-0.151609399
cg01264729	-0.152423738
cg01311102	-0.109216273
cg01529637	0.026809635
cg01532168	0.334655927
cg01616394	-0.018710086
cg01639032	0.515052701
cg01641432	-0.001376835
cg01655150	-0.327613492
cg01745370	-0.005864298
cg01899542	-0.050962596
cg02046143	-0.007779109
cg02047661	-0.017116935
cg02357838	0.237973415
cg02361903	-0.545223386
cg02397497	0.076206837
cg02448244	0.039555553
cg02504211	0.134460747
cg02524236	-0.058474018
cg02546818	0.016162361
cg02583546	-0.035967311
cg02795151	-0.005627075
cg02983424	0.056964106
cg03001484	-0.025898656
cg03025830	0.136317208
cg03040821	-0.057485253
cg03048488	-0.12566829
cg03591753	-0.452082421
cg03594801	-0.069130188
cg03613618	-0.139354724
cg03633073	0.244650566
cg03639603	0.071335758
cg03710354	0.000128864
cg03717616	-0.191833582
cg03854598	0.195432137
cg03864215	-0.350143864
cg04031134	0.020701227
cg04036898	-0.000132233
cg04055913	-0.065713928
cg04060163	-0.011175201
cg04078896	-0.012000721
cg04235075	0.207207662
cg04315771	-0.052222
cg04370442	0.076717967
cg04432319	0.379833864
cg04604946	-0.116614868
cg04684267	0.561039483
cg04686264	0.09996322
cg04704414	-0.024974151
cg04834794	0.863552744
cg04880546	0.030414214
cg04913265	0.055065978
cg05006304	-0.099641012
cg05030953	-0.012153047
cg05149386	-0.105318094
cg05213896	0.018443456
cg05280698	0.259709423
cg05333146	0.19252122
cg05362168	-0.013417321
cg05396044	0.944423698
cg05404236	0.09491394
cg05444541	-0.011870605
cg05634040	-0.076137624
cg05724492	0.034791387
cg05756780	0.068883709
cg05785488	0.581251515
cg05795849	-0.037768537
cg05839636	-0.070907812
cg06069616	-0.012846626
cg06144905	0.055481332
cg06236737	-0.465674221
cg06385324	0.080165571
cg06570818	-0.004063949
cg06645033	0.23463392
cg06648759	0.406742868
cg06711656	0.156636006
cg06751446	0.083534324
cg06852461	-0.006393546
cg07011538	-0.033736575
cg07120479	-0.429315815
cg07181374	-0.13102448
cg07197480	0.049785969
cg07461572	-0.00144457
cg07544187	0.198878842
cg07547549	0.013435715
cg07550554	0.248612601
cg07581257	-0.144461075
cg07806886	0.011310003
cg08097417	0.559888634
cg08193650	0.079222424
cg08370996	0.124238004
cg08594681	-0.097641594
cg08606497	-0.013699233
cg08708711	0.035409093
cg08727193	0.11187629
cg08786136	0.131670624
cg08952475	-0.001834234
cg08995871	0.000466299
cg09058748	0.006092944
cg09124496	-0.072660081
cg09178970	-0.024484806
cg09254686	-0.20876756
cg09363564	-0.148778258
cg09372546	-0.018437019
cg09407967	0.076519729
cg09468836	0.027470428
cg09664474	-0.711323003
cg09731141	-0.002565049
cg09810078	0.039823305
cg09888620	0.220047678
cg09906752	-0.015248983
cg09935271	-0.019552319
cg10027085	-0.003836423
cg10104252	-0.027223527
cg10225362	0.04192172
cg10232140	-0.017847397
cg10359006	-0.106336593
cg10378521	-0.204361452
cg10389229	0.006415066
cg10460946	-0.237602308
cg10501210	-0.305485974
cg10574566	-0.082905453
cg10790698	-0.102634843
cg10851350	-0.009849258
cg10904972	-0.078435705
cg10924085	-0.034367909
cg10961323	0.011742898
cg11018337	0.102273187
cg11071401	0.003012982
cg11120115	-0.194564447
cg11397957	-0.128772631
cg11462165	0.181734403
cg11565355	0.115128854
cg11603443	0.11675982
